STATE,LOAD_VOLUME,MARKET_RATE,LOAD_VOLUME_NORM,RATE_NORM,MARKET_QUALITY_SCORE
CALIFORNIA,2250.0,5.19,40.089445438282645,100.0,64.05366726296958
ALABAMA,5599.0,3.453,100.0,9.813084112149532,63.925233644859816
TEXAS,5260.0,3.264,93.93559928443649,0.0,56.3613595706619
WASHINGTON,699.0,5.022,12.343470483005367,91.27725856697819,43.9169857165945
FLORIDA,3013.0,3.724,53.738819320214674,23.883696780893057,41.79677030448603
MISSISSIPPI,3626.0,3.298,64.70483005366727,1.7653167185877592,39.52902471963546
GEORGIA,2991.0,3.595,53.345259391771016,17.185877466251316,38.88150662156313
ARKANSAS,2871.0,3.381,51.19856887298748,6.074766355140185,33.14904786584856
ILLINOIS,1944.0,3.769,34.61538461538461,26.22014537902389,31.257288920840324
OREGON,527.0,4.5,9.26654740608229,64.17445482866043,31.229710375113548
PENNSYLVANIA,970.0,4.022,17.191413237924866,39.356178608515066,26.05731938616095
SOUTH CAROLINA,1703.0,3.507,30.304114490161,12.616822429906554,23.22919766605922
MARYLAND,1139.0,3.776,20.214669051878353,26.58359293873312,22.762238606620258
LOUISIANA,1883.0,3.341,33.524150268336314,3.997923156801681,21.713659423722458
OHIO,972.0,3.708,17.227191413237925,23.052959501557645,19.55749864856581
INDIANA,749.0,3.802,13.237924865831843,27.933541017653173,19.116171326560377
NORTH CAROLINA,1234.0,3.535,21.914132379248656,14.070612668743523,18.7767244950466
NEW YORK,427.0,3.929,7.477638640429338,34.527518172377974,18.29759045320879
IDAHO,383.0,3.928,6.690518783542039,34.47559709241952,17.804550107093032
TENNESSEE,1312.0,3.435,23.30948121645796,8.878504672897208,17.537090599033657
NEVADA,248.0,3.965,4.275491949910554,36.39667705088265,17.123965990299393
MASSACHUSETTS,443.0,3.859,7.76386404293381,30.893042575285566,17.015535455874513
ARIZONA,824.0,3.652,14.579606440071558,20.14537902388371,16.805915473596418
MICHIGAN,443.0,3.731,7.76386404293381,24.24714434060228,14.357176162001199
VIRGINIA,602.0,3.634,10.608228980322004,19.21079958463136,14.049257222045746
MAINE,69.0,3.89,1.073345259391771,32.50259605399793,13.645045577234233
CONNECTICUT,175.0,3.814,2.9695885509838997,28.556593977154733,13.204390721452235
MINNESOTA,476.0,3.618,8.354203935599285,18.38006230529595,12.364547283477952
NEW JERSEY,323.0,3.696,5.617173524150268,22.429906542056088,12.342266731312597
VERMONT,9.0,3.853,0.0,30.5815160955348,12.23260643821392
NEW HAMPSHIRE,45.0,3.82,0.6440071556350626,28.8681204569055,11.933652476143239
UTAH,247.0,3.709,4.257602862254025,23.104880581516102,11.796513949958857
RHODE ISLAND,44.0,3.805,0.6261180679785331,28.089304257528568,11.611392543798548
MISSOURI,828.0,3.395,14.651162790697676,6.8016614745586805,11.511362264242077
DELAWARE,44.0,3.764,0.6261180679785331,25.960539979231562,10.759886832479745
MONTANA,216.0,3.649,3.70304114490161,19.989615784008315,10.217671000544293
OKLAHOMA,865.0,3.278,15.313059033989266,0.7268951194184958,9.478593468160959
WEST VIRGINIA,207.0,3.602,3.5420393559928445,17.54932502596054,9.144953623979923
WISCONSIN,324.0,3.541,5.635062611806798,14.382139148494291,9.133893226481796
WYOMING,204.0,3.588,3.488372093023256,16.822429906542066,8.82199521843078
KANSAS,424.0,3.439,7.4239713774597496,9.08618899273106,8.088858423568274
KENTUCKY,476.0,3.403,8.354203935599285,7.217030114226386,7.899334407050126
IOWA,190.0,3.533,3.2379248658318427,13.966770508826587,7.529463123029741
COLORADO,311.0,3.425,5.402504472271914,8.359293873312563,6.585220232688174
NEW MEXICO,186.0,3.441,3.1663685152057246,9.190031152647975,5.575833570182625
NEBRASKA,182.0,3.431,3.0948121645796065,8.670820353063355,5.325215439973106
SOUTH DAKOTA,199.0,3.361,3.3989266547406083,5.036344755970944,4.053893895232743
NORTH DAKOTA,42.0,3.424,0.590339892665474,8.307372793354107,3.6771530529409273
